72463	5000	1	3	1.0E-4	50.0
97856	5000	1	3	1.0E-4	77.0
7105	5000	1	3	1.0E-4	64.4
3189	5000	1	3	1.0E-4	93.0
13594	5000	1	3	1.0E-4	74.4
4	5000	1	3	1.0E-4	51.4
Media:5000	1	3	1.0E-4	69.38
1234	5000	1	3	1.0E-5	60.4
242359	5000	1	3	1.0E-5	79.6
986	5000	1	3	1.0E-5	51.6
5437	5000	1	3	1.0E-5	80.4
72463	5000	1	3	1.0E-5	46.6
97856	5000	1	3	1.0E-5	78.0
7105	5000	1	3	1.0E-5	59.2
3189	5000	1	3	1.0E-5	91.8
13594	5000	1	3	1.0E-5	71.6
4	5000	1	3	1.0E-5	48.4
Media:5000	1	3	1.0E-5	66.76
1234	5000	1	4	0.1	71.0
242359	5000	1	4	0.1	90.2
986	5000	1	4	0.1	54.0
5437	5000	1	4	0.1	101.6
72463	5000	1	4	0.1	58.0
97856	5000	1	4	0.1	82.0
7105	5000	1	4	0.1	72.0
3189	5000	1	4	0.1	95.4
13594	5000	1	4	0.1	81.0
4	5000	1	4	0.1	58.6
Media:5000	1	4	0.1	76.38
1234	5000	1	4	0.01	69.4
242359	5000	1	4	0.01	89.0
986	5000	1	4	0.01	54.0
5437	5000	1	4	0.01	97.8
72463	5000	1	4	0.01	56.4
97856	5000	1	4	0.01	83.4
7105	5000	1	4	0.01	69.8
3189	5000	1	4	0.01	94.4
13594	5000	1	4	0.01	81.0
4	5000	1	4	0.01	56.6
Media:5000	1	4	0.01	75.17999999999999
1234	5000	1	4	0.001	70.0
242359	5000	1	4	0.001	80.4
986	5000	1	4	0.001	51.8
5437	5000	1	4	0.001	98.8
72463	5000	1	4	0.001	47.2
97856	5000	1	4	0.001	77.4
7105	5000	1	4	0.001	65.6
3189	5000	1	4	0.001	91.0
13594	5000	1	4	0.001	77.0
4	5000	1	4	0.001	55.8
Media:5000	1	4	0.001	71.5
1234	5000	1	4	1.0E-4	51.6
242359	5000	1	4	1.0E-4	74.8
986	5000	1	4	1.0E-4	47.2
5437	5000	1	4	1.0E-4	79.4
72463	5000	1	4	1.0E-4	48.6
97856	5000	1	4	1.0E-4	69.2
7105	5000	1	4	1.0E-4	59.8
3189	5000	1	4	1.0E-4	86.4
13594	5000	1	4	1.0E-4	70.0
4	5000	1	4	1.0E-4	41.6
Media:5000	1	4	1.0E-4	62.86
1234	5000	1	4	1.0E-5	51.0
242359	5000	1	4	1.0E-5	67.2
986	5000	1	4	1.0E-5	46.6
5437	5000	1	4	1.0E-5	75.4
72463	5000	1	4	1.0E-5	44.6
97856	5000	1	4	1.0E-5	68.2
7105	5000	1	4	1.0E-5	62.0
3189	5000	1	4	1.0E-5	81.2
13594	5000	1	4	1.0E-5	68.8
4	5000	1	4	1.0E-5	38.8
Media:5000	1	4	1.0E-5	60.379999999999995
1234	5000	1	5	0.1	71.6
242359	5000	1	5	0.1	89.0
986	5000	1	5	0.1	54.0
5437	5000	1	5	0.1	103.6
72463	5000	1	5	0.1	58.0
97856	5000	1	5	0.1	85.8
7105	5000	1	5	0.1	72.0
3189	5000	1	5	0.1	96.0
13594	5000	1	5	0.1	81.0
4	5000	1	5	0.1	59.2
Media:5000	1	5	0.1	77.02000000000001
1234	5000	1	5	0.01	71.2
242359	5000	1	5	0.01	89.2
986	5000	1	5	0.01	52.0
5437	5000	1	5	0.01	101.6
72463	5000	1	5	0.01	53.8
97856	5000	1	5	0.01	82.8
7105	5000	1	5	0.01	70.0
3189	5000	1	5	0.01	89.0
13594	5000	1	5	0.01	81.0
4	5000	1	5	0.01	55.0
Media:5000	1	5	0.01	74.56
1234	5000	1	5	0.001	66.0
242359	5000	1	5	0.001	83.0
986	5000	1	5	0.001	45.4
5437	5000	1	5	0.001	87.6
72463	5000	1	5	0.001	49.6
97856	5000	1	5	0.001	78.6
7105	5000	1	5	0.001	60.4
