MaxIts It/paso K lambda BeneficiosMedios
5000 70 20 0.1 68.22
5000 70 20 0.01 62.64000000000001
5000 70 20 0.001 49.04
5000 70 20 1.0E-4 37.86
5000 70 20 1.0E-5 37.68
5000 70 25 0.1 66.17999999999999
5000 70 25 0.01 61.64000000000001
5000 70 25 0.001 48.04
5000 70 25 1.0E-4 36.28
5000 70 25 1.0E-5 36.239999999999995
5000 70 30 0.1 66.86
5000 70 30 0.01 61.48
5000 70 30 0.001 49.2
5000 70 30 1.0E-4 36.040000000000006
5000 70 30 1.0E-5 36.9
5000 70 40 0.1 65.72
5000 70 40 0.01 60.6
5000 70 40 0.001 48.660000000000004
5000 70 40 1.0E-4 35.74
5000 70 40 1.0E-5 36.39999999999999
5000 70 50 0.1 64.22000000000001
5000 70 50 0.01 60.46
5000 70 50 0.001 46.2
5000 70 50 1.0E-4 36.4
5000 70 50 1.0E-5 33.64
5000 70 60 0.1 64.64
5000 70 60 0.01 57.959999999999994
5000 70 60 0.001 47.78
5000 70 60 1.0E-4 36.339999999999996
5000 70 60 1.0E-5 34.84
5000 70 70 0.1 64.5
5000 70 70 0.01 56.3
5000 70 70 0.001 47.11999999999999
5000 70 70 1.0E-4 35.34
5000 70 70 1.0E-5 35.660000000000004
