MaxIts It/paso K lambda BeneficiosMedios
5000 5 60 1.0E-5 36.980000000000004
5000 5 70 0.1 70.41999999999999
5000 5 70 0.01 57.9
5000 5 70 0.001 45.48
5000 5 70 1.0E-4 36.38
5000 5 70 1.0E-5 37.46
5000 10 1 0.1 77.02000000000001
5000 10 1 0.01 76.63999999999999
5000 10 1 0.001 76.49999999999999
5000 10 1 1.0E-4 77.17999999999999
5000 10 1 1.0E-5 76.66
5000 10 2 0.1 76.76000000000002
5000 10 2 0.01 76.16
5000 10 2 0.001 76.22
5000 10 2 1.0E-4 74.8
5000 10 2 1.0E-5 73.69999999999999
5000 10 3 0.1 76.78
5000 10 3 0.01 75.9
5000 10 3 0.001 74.92
5000 10 3 1.0E-4 69.16000000000001
5000 10 3 1.0E-5 68.3
5000 10 4 0.1 76.32000000000001
5000 10 4 0.01 75.38
5000 10 4 0.001 72.84
5000 10 4 1.0E-4 63.61999999999999
5000 10 4 1.0E-5 61.15999999999999
5000 10 5 0.1 76.46000000000001
5000 10 5 0.01 74.96000000000001
5000 10 5 0.001 69.16
5000 10 5 1.0E-4 55.92
5000 10 5 1.0E-5 53.48
5000 10 6 0.1 75.36
5000 10 6 0.01 74.16000000000001
5000 10 6 0.001 67.02000000000001
5000 10 6 1.0E-4 52.120000000000005
5000 10 6 1.0E-5 50.94
5000 10 7 0.1 75.32
5000 10 7 0.01 71.66
5000 10 7 0.001 65.2
5000 10 7 1.0E-4 49.99999999999999
5000 10 7 1.0E-5 47.64
5000 10 8 0.1 75.88
5000 10 8 0.01 72.3
5000 10 8 0.001 62.31999999999999
5000 10 8 1.0E-4 45.8
5000 10 8 1.0E-5 46.86
5000 10 9 0.1 75.42
5000 10 9 0.01 70.92
5000 10 9 0.001 60.760000000000005
5000 10 9 1.0E-4 43.480000000000004
5000 10 9 1.0E-5 43.02
5000 10 10 0.1 74.08000000000001
5000 10 10 0.01 70.28
5000 10 10 0.001 57.260000000000005
5000 10 10 1.0E-4 43.519999999999996
5000 10 10 1.0E-5 43.2
5000 10 15 0.1 73.67999999999999
5000 10 15 0.01 67.68000000000002
5000 10 15 0.001 52.92
5000 10 15 1.0E-4 39.4
5000 10 15 1.0E-5 37.92
5000 10 20 0.1 74.78
5000 10 20 0.01 64.67999999999999
5000 10 20 0.001 49.7
5000 10 20 1.0E-4 38.940000000000005
5000 10 20 1.0E-5 38.56
5000 10 25 0.1 72.52000000000001
5000 10 25 0.01 65.53999999999999
5000 10 25 0.001 47.2
5000 10 25 1.0E-4 37.18
5000 10 25 1.0E-5 38.78
5000 10 30 0.1 73.02
5000 10 30 0.01 61.84000000000001
5000 10 30 0.001 46.919999999999995
5000 10 30 1.0E-4 36.42
5000 10 30 1.0E-5 37.08
5000 10 40 0.1 72.7
5000 10 40 0.01 62.78000000000001
5000 10 40 0.001 46.580000000000005
5000 10 40 1.0E-4 36.68
5000 10 40 1.0E-5 35.54
5000 10 50 0.1 71.61999999999999
5000 10 50 0.01 59.96
5000 10 50 0.001 44.66000000000001
5000 10 50 1.0E-4 35.99999999999999
5000 10 50 1.0E-5 36.36
5000 10 60 0.1 71.74000000000001
5000 10 60 0.01 58.61999999999999
5000 10 60 0.001 47.58
5000 10 60 1.0E-4 36.86
5000 10 60 1.0E-5 34.1
5000 10 70 0.1 69.35999999999999
5000 10 70 0.01 58.44
5000 10 70 0.001 45.300000000000004
5000 10 70 1.0E-4 36.88
5000 10 70 1.0E-5 36.2
5000 20 1 0.1 76.94
5000 20 1 0.01 77.02000000000001
5000 20 1 0.001 76.53999999999999
5000 20 1 1.0E-4 76.74
5000 20 1 1.0E-5 76.76
5000 20 2 0.1 76.74
5000 20 2 0.01 76.55999999999999
5000 20 2 0.001 75.78
5000 20 2 1.0E-4 74.46000000000001
5000 20 2 1.0E-5 73.7
5000 20 3 0.1 76.08000000000001
5000 20 3 0.01 75.98
5000 20 3 0.001 74.62
5000 20 3 1.0E-4 68.72
5000 20 3 1.0E-5 68.46000000000001
5000 20 4 0.1 76.38
5000 20 4 0.01 75.86
5000 20 4 0.001 72.12
5000 20 4 1.0E-4 62.64
5000 20 4 1.0E-5 62.260000000000005
5000 20 5 0.1 76.34
5000 20 5 0.01 74.76
5000 20 5 0.001 70.6
5000 20 5 1.0E-4 55.30000000000001
5000 20 5 1.0E-5 55.879999999999995
5000 20 6 0.1 75.64
5000 20 6 0.01 72.62
5000 20 6 0.001 68.34
5000 20 6 1.0E-4 51.379999999999995
5000 20 6 1.0E-5 52.28000000000001
5000 20 7 0.1 75.14
5000 20 7 0.01 71.68
5000 20 7 0.001 63.19999999999999
5000 20 7 1.0E-4 46.86
5000 20 7 1.0E-5 45.279999999999994
5000 20 8 0.1 74.29999999999998
5000 20 8 0.01 72.74000000000001
5000 20 8 0.001 61.239999999999995
5000 20 8 1.0E-4 45.44
5000 20 8 1.0E-5 44.89999999999999
5000 20 9 0.1 74.86
5000 20 9 0.01 72.86
5000 20 9 0.001 59.44
5000 20 9 1.0E-4 44.08
5000 20 9 1.0E-5 43.059999999999995
5000 20 10 0.1 74.0
5000 20 10 0.01 70.18
5000 20 10 0.001 58.339999999999996
5000 20 10 1.0E-4 43.040000000000006
5000 20 10 1.0E-5 41.58
5000 20 15 0.1 71.78
5000 20 15 0.01 67.26
5000 20 15 0.001 52.040000000000006
5000 20 15 1.0E-4 37.239999999999995
5000 20 15 1.0E-5 40.279999999999994
5000 20 20 0.1 73.72
5000 20 20 0.01 65.44
5000 20 20 0.001 49.38000000000001
5000 20 20 1.0E-4 35.599999999999994
5000 20 20 1.0E-5 38.16
5000 20 25 0.1 71.30000000000001
5000 20 25 0.01 63.0
5000 20 25 0.001 49.14
5000 20 25 1.0E-4 36.32000000000001
5000 20 25 1.0E-5 36.839999999999996
5000 20 30 0.1 71.86
5000 20 30 0.01 61.02
5000 20 30 0.001 52.019999999999996
5000 20 30 1.0E-4 35.46
5000 20 30 1.0E-5 38.0
5000 20 40 0.1 72.16
5000 20 40 0.01 61.720000000000006
5000 20 40 0.001 45.160000000000004
5000 20 40 1.0E-4 35.64000000000001
5000 20 40 1.0E-5 37.78
5000 20 50 0.1 70.03999999999999
5000 20 50 0.01 61.11999999999999
5000 20 50 0.001 45.68000000000001
5000 20 50 1.0E-4 36.040000000000006
5000 20 50 1.0E-5 36.7
5000 20 60 0.1 69.6
5000 20 60 0.01 59.06
5000 20 60 0.001 46.339999999999996
5000 20 60 1.0E-4 35.980000000000004
5000 20 60 1.0E-5 34.779999999999994
5000 20 70 0.1 70.6
5000 20 70 0.01 59.0
5000 20 70 0.001 47.36
5000 20 70 1.0E-4 35.86
5000 20 70 1.0E-5 36.019999999999996
5000 30 1 0.1 76.76
5000 30 1 0.01 76.16
5000 30 1 0.001 76.08000000000001
5000 30 1 1.0E-4 76.94
5000 30 1 1.0E-5 76.96
5000 30 2 0.1 76.53999999999999
5000 30 2 0.01 76.02
5000 30 2 0.001 75.75999999999999
5000 30 2 1.0E-4 74.92
5000 30 2 1.0E-5 73.61999999999999
5000 30 3 0.1 76.03999999999999
5000 30 3 0.01 75.14000000000001
5000 30 3 0.001 73.44000000000001
5000 30 3 1.0E-4 68.44
5000 30 3 1.0E-5 67.58000000000001
5000 30 4 0.1 76.06
5000 30 4 0.01 75.14
5000 30 4 0.001 72.03999999999999
5000 30 4 1.0E-4 63.24000000000001
5000 30 4 1.0E-5 61.36
5000 30 5 0.1 75.45999999999998
5000 30 5 0.01 74.50000000000001
5000 30 5 0.001 69.52
5000 30 5 1.0E-4 56.339999999999996
5000 30 5 1.0E-5 54.679999999999986
5000 30 6 0.1 75.1
5000 30 6 0.01 73.22
5000 30 6 0.001 66.24
5000 30 6 1.0E-4 53.019999999999996
5000 30 6 1.0E-5 51.92
5000 30 7 0.1 74.4
5000 30 7 0.01 72.03999999999999
5000 30 7 0.001 63.5
5000 30 7 1.0E-4 49.36
5000 30 7 1.0E-5 45.4
5000 30 8 0.1 74.58000000000001
5000 30 8 0.01 72.08
5000 30 8 0.001 62.260000000000005
5000 30 8 1.0E-4 46.739999999999995
5000 30 8 1.0E-5 44.120000000000005
5000 30 9 0.1 74.4
5000 30 9 0.01 70.96
5000 30 9 0.001 59.839999999999996
5000 30 9 1.0E-4 43.5
5000 30 9 1.0E-5 44.78
5000 30 10 0.1 71.67999999999999
5000 30 10 0.01 70.52
5000 30 10 0.001 58.0
5000 30 10 1.0E-4 41.279999999999994
5000 30 10 1.0E-5 43.160000000000004
5000 30 15 0.1 71.9
5000 30 15 0.01 66.0
5000 30 15 0.001 51.67999999999999
5000 30 15 1.0E-4 39.42
5000 30 15 1.0E-5 39.019999999999996
5000 30 20 0.1 70.86
5000 30 20 0.01 64.82
5000 30 20 0.001 49.88
5000 30 20 1.0E-4 35.38
5000 30 20 1.0E-5 36.64
5000 30 25 0.1 71.88000000000001
5000 30 25 0.01 64.1
5000 30 25 0.001 49.98
5000 30 25 1.0E-4 39.220000000000006
5000 30 25 1.0E-5 34.879999999999995
5000 30 30 0.1 69.72
5000 30 30 0.01 64.1
5000 30 30 0.001 47.459999999999994
5000 30 30 1.0E-4 36.86
5000 30 30 1.0E-5 36.72
5000 30 40 0.1 70.1
5000 30 40 0.01 61.660000000000004
5000 30 40 0.001 48.54
5000 30 40 1.0E-4 36.36
5000 30 40 1.0E-5 36.22
5000 30 50 0.1 69.70000000000002
5000 30 50 0.01 59.54
5000 30 50 0.001 44.54
5000 30 50 1.0E-4 36.02
5000 30 50 1.0E-5 34.959999999999994
5000 30 60 0.1 69.4
5000 30 60 0.01 57.98
5000 30 60 0.001 46.11999999999999
5000 30 60 1.0E-4 36.379999999999995
5000 30 60 1.0E-5 34.98
5000 30 70 0.1 68.9
5000 30 70 0.01 58.34000000000001
5000 30 70 0.001 45.080000000000005
5000 30 70 1.0E-4 36.82000000000001
5000 30 70 1.0E-5 36.92
5000 40 1 0.1 77.03999999999999
5000 40 1 0.01 76.24
5000 40 1 0.001 76.64
5000 40 1 1.0E-4 77.02
5000 40 1 1.0E-5 76.74
5000 40 2 0.1 76.26
5000 40 2 0.01 76.47999999999999
5000 40 2 0.001 76.46000000000001
5000 40 2 1.0E-4 74.84
5000 40 2 1.0E-5 73.58
5000 40 3 0.1 75.44
5000 40 3 0.01 75.74
5000 40 3 0.001 74.06
5000 40 3 1.0E-4 69.18
